SAR,VIS
2,2
3,1
4,0
19,2
20,0
28,2
29,1
32,2
33,1
34,2
35,1
36,0
36,2
37,1
37,2
38,0
38,2
39,0
43,1
44,0
45,1
46,0
56,2
57,1
58,2
59,1
60,0
73,2
74,1
75,0
82,2
83,1
83,2
84,0
85,0
85,1
85,2
86,0
86,1
87,1
88,0
88,1
88,2
89,0
90,1
90,2
91,0
93,0
93,2
94,0
95,2
96,0
99,2
100,1
101,0
101,2
102,1
108,2
109,0
122,2
123,1
128,1
129,0
129,1
130,1
131,1
132,1
133,2
134,0
134,1
134,2
135,0
135,1
136,2
137,0
160,2
161,1
162,0
178,2
179,1
182,2
183,1
183,2
184,0
184,2
185,0
185,2
186,1
186,2
187,0
187,1
188,0
189,1
190,0
191,1
192,0
202,2
203,1
219,2
220,1
221,0
221,2
222,1
223,0
228,2
229,1
229,2
230,0
231,0
231,2
232,0
232,1
233,1
233,2
234,0
234,1
236,2
237,0
239,0
239,2
240,0
241,2
242,0
244,2
245,0
245,2
246,1
247,0
254,2
255,0
268,2
269,1
275,2
276,0
276,1
277,0
277,1
278,1
279,2
280,0
280,1
280,2
281,0
281,1
282,2
283,0
306,2
307,1
308,0
324,2
325,1
328,2
329,1
329,2
330,0
330,2
331,0
331,2
332,1
333,0
335,1
336,0
347,2
348,1
349,0
350,2
351,1
352,0
365,2
366,1
367,0
374,2
375,1
375,2
376,0
377,0
377,2
378,0
378,1
379,1
379,2
380,0
380,1
382,1
382,2
383,0
384,1
385,0
391,2
392,1
393,0
400,2
401,0
414,2
415,1
417,1
422,1
423,0
423,1
424,1
425,2
426,0
426,1
426,2
427,0
428,2
429,0
452,2
453,1
454,0
463,2
464,1
465,0
470,2
471,1
472,2
473,1
474,0
474,2
475,1
476,2
477,0
477,2
478,1
479,0
481,1
482,0
483,1
484,0
487,2
488,1
489,0
511,2
512,1
512,2
513,0
513,1
514,0
520,2
521,1
521,2
522,0
523,1
523,2
524,0
524,1
525,1
525,2
526,0
526,1
528,2
529,0
530,1
531,0
533,1
546,2
547,0
560,2
561,1
563,1
563,2
568,1
569,0
569,1
570,1
571,1
572,1
574,2
575,0
609,2
610,1
611,0
616,2
617,1
618,1
618,2
619,0
619,1
620,0
620,2
621,1
621,2
622,0
622,2
623,0
623,2
624,1
625,0
627,1
627,2
628,0
628,1
642,1
643,0
657,2
658,1
659,0
659,2
660,1
661,0
666,2
667,1
667,2
668,0
669,0
669,2
670,0
670,1
671,1
671,2
672,0
672,1
674,2
675,0
676,1
677,0
679,1
706,2
707,1
707,2
708,0
709,1
709,2
711,2
714,1
715,0
715,1
716,1
718,1
720,2
721,0
744,2
745,1
746,0
755,2
756,1
757,0
762,2
763,1
764,1
764,2
765,0
765,1
766,0
766,2
767,1
767,2
768,0
768,2
769,0
769,2
770,1
771,0
773,1
773,2
774,0
774,1
803,2
804,1
805,0
805,2
806,1
807,0
813,1
813,2
814,0
815,2
816,0
816,1
817,1
817,2
818,0
818,1
820,2
821,0
822,1
823,0
823,2
824,0
825,1
852,2
853,1
853,2
854,0
855,1
855,2
859,2
860,0
860,1
861,0
861,1
862,1
863,2
864,0
864,1
866,2
867,0
871,1
872,0
908,2
909,1
909,2
910,0
910,1
910,2
911,0
911,1
912,0
912,2
913,1
913,2
914,0
914,2
915,0
915,2
916,1
917,0
919,1
920,0
920,2
921,0
924,1
924,2
925,0
925,1
926,0
926,2
927,1
949,2
950,1
951,0
951,2
952,1
953,0
958,1
959,1
959,2
960,0
961,1
961,2
962,0
962,1
963,1
963,2
964,0
964,1
968,1
969,0
969,2
970,0
971,1
998,2
999,1
999,2
1000,0
1000,2
1001,0
1001,1
1002,0
1005,1
1005,2
1006,0
1006,1
1007,0
1007,1
1008,1
1010,1
1012,2
1013,0
1054,2
1055,1
1056,1
1056,2
1057,0
1057,1
1058,0
1058,2
1059,1
1059,2
1060,0
1060,2
1061,0
1061,2
1062,1
1063,0
1067,1
1068,0
1070,2
1071,1
1072,0
1072,2
1073,1
1085,2
1086,1
1087,0
1095,2
1096,1
1097,0
1097,2
1098,1
1099,0
1104,1
1105,1
1105,2
1106,0
1107,0
1107,1
1107,2
1108,0
1108,1
1109,1
1109,2
1110,0
1110,1
1112,2
1113,0
1114,1
1115,0
1117,1
1130,2
1131,0
1144,2
1145,1
1145,2
1146,0
1147,1
1148,0
1151,1
1151,2
1152,0
1152,1
1153,0
1153,1
1154,1
1158,2
1159,0
1166,2
1171,2
1172,1
1182,2
1183,1
1184,0
1197,2
1198,0
1199,2
1200,1
1200,2
1201,0
1201,1
1202,1
1202,2
1203,0
1203,1
1204,0
1204,2
1205,1
1205,2
1206,0
1206,2
1207,0
1207,2
1208,1
1208,2
1209,0
1209,1
1210,0
1211,1
1212,0
1213,1
1214,0
1216,2
1217,1
1218,0
1218,2
1219,1
1231,2
1232,1
1233,0
1241,2
1242,1
1243,0
1250,1
1251,1
1251,2
1252,0
1253,0
1253,2
1254,0
1254,1
1255,1
1255,2
1256,0
1256,1
1258,2
1259,0
1260,1
1261,0
1262,1
1267,2
1268,1
1269,0
1276,2
1277,0
1293,2
1297,1
1297,2
1298,0
1298,1
1299,0
1299,1
1300,1
1301,2
1302,0
1302,1
1302,2
1303,0
1304,0
1304,2
1305,0
1322,2
1323,1
1324,0
1328,2
1329,1
1330,0
1342,2
1343,1
1343,2
1344,0
1345,2
1346,1
1346,2
1347,0
1347,1
1348,1
1348,2
1349,0
1349,1
1350,0
1350,2
1351,1
1351,2
1352,0
1352,2
1353,0
1353,2
1354,1
1354,2
1355,0
1355,1
1356,0
1357,1
1358,0
1359,1
1360,0
1372,1
1373,0
1377,2
1378,1
1379,0
1387,2
1388,1
1389,0
1389,2
1390,1
1391,0
1396,1
1396,2
1397,1
1397,2
1398,0
1399,0
1399,1
1399,2
1400,0
1400,1
1400,2
1401,0
1401,2
1402,0
1402,1
1404,2
1405,0
1406,1
1407,0
1408,1
1413,2
1414,1
1415,0
1422,2
1423,0
1440,0
1441,1
1443,1
1443,2
1444,0
1444,1
1445,0
1445,1
1446,1
1447,2
1448,0
1450,2
1451,0
1453,1
1463,2
1464,1
1468,2
1469,1
1470,0
1474,2
1475,1
1476,0
1479,2
1480,0
1484,2
1485,1
1486,0
1489,2
1490,0
1491,2
1492,1
1492,2
1493,0
1493,1
1494,1
1494,2
1495,0
1495,1
1495,2
1496,0
1496,1
1496,2
1497,0
1497,1
1497,2
1498,0
1498,2
1499,0
1499,2
1500,1
1501,0
1503,1
1503,2
1504,0
1504,1
1505,1
1506,0
1518,1
1519,0
1523,2
1524,1
1525,0
1528,2
1529,1
1530,0
1533,2
1534,1
1535,0
1542,2
1543,1
1543,2
1544,0
1545,0
1545,2
1546,0
1546,1
1546,2
1547,0
1547,2
1548,0
1548,1
1550,2
1551,0
1552,1
1553,0
1554,1
1568,2
1569,0
1587,1
1589,1
1589,2
1590,0
1590,1
1591,0
1591,1
1592,1
1593,0
1596,2
1597,0
1614,2
1615,1
1616,0
1620,2
1621,1
1622,0
1630,2
1631,1
1632,0
1635,2
1636,0
1637,2
1638,1
1638,2
1639,0
1639,1
1640,1
1640,2
1641,0
1641,1
1641,2
1642,0
1642,1
1642,2
1643,0
1643,1
1643,2
1644,0
1644,2
1645,0
1645,2
1646,1
1647,0
1649,1
1649,2
1650,0
1650,1
1651,1
1652,0
1664,1
1665,0
1669,2
1670,1
1671,0
1676,2
1677,1
1679,2
1680,1
1680,2
1681,0
1681,1
1682,0
1688,2
1689,1
1689,2
1690,0
1691,0
1691,1
1691,2
1692,0
1692,1
1693,2
1694,0
